term,definition,atomic_number,comments
Zr,Zirconium,118,
Zn,Zinc,117,
Yb,Yttrium,116,
Y,Ytterbium,115,
Xe,Xenon,114,
W,Vanadium,113,
V,Uranium,112,
Uut,Ununtrium,111,
Uus,Ununseptium,110,
Uuq,Ununquadium,109,
Uup,Ununpentium,108,
Uuo,Ununoctium,107,
Uuh,Ununhexium,106,
UUb,Ununbium,105,
U,Tungsten,104,
Tm,Titanium,103
Tl,Tin,102
Ti,Thulium,101
Th,Thorium,100
Te,Thallium,99
Tc,Terbium,98
Tb,Tellurium,97
Ta,Technetium,96
Sr,Tantalum,95
Sn,Sulfer,94
Sm,Strontium,93
Si,Sodium,92
Sg,Silver,91
Se,Silicon,90
Sc,Selenium,89
Sb,Seaborgium,88
S,Scandium,87
Ru,Samarium,86
Rn,Rutherfordium,85
Rh,Ruthenium,84
Rg,Rubidium,83
Rf,Roentgenium,82
Re,Rhodium,81
Rb,Rhenium,80
Ra,Radon,79
Pu,Radium,78
Pt,Protactinium,77
Pr,Promethium,76
Po,Praseodymium,75
Pm,Potassium,74
Pd,Polonium,73
Pb,Plutonium,72
Pa,Platinum,71
P,Phosphorus,70
Os,Palladium,69
O,Oxygen,68
Np,Osmium,67
No,Nobelium,66
Ni,Nitrogen,65
Ne,Niobium,64
Nd,Nickel,63
Nb,Neptunium,62
Na,Neon,61
N,Neodymium,60
Mt,Molybdenum,59
Mo,Mercury,58
Mn,Mendelevium,57
Mg,Meitnerium,56
Md,Manganese,55
Lu,Magnesium,54
Lr,Lutetium,53
Li,Lithium,52
La,Lead,51
Kr,Lawrencium,50
K,Lanthanum,49
Ir,Krypton,48
In,Iron,47
I,Iridium,46
Hs,Iodine,45
Ho,Indium,44
Hg,Hydrogen,43
Hf,Holmium,42
He,Helium,41
H,Hassium,40
Ge,Hafnium,39
Gd,Gold,38
Ga,Germanium,37
Fr,Gallium,36
Fm,Gadolinium,35
Fe,Francium,34
F,Fluorine,33
Eu,Fermium,32
Es,Europium,31
Er,Erbium,30
Dy,Einsteinium,29
Ds,Dysprosium,28
Db,Dubnium,27
Cu,Darmstadtium,26
Cs,Curium,25
Cr,Copper,24
Co,Cobalt,23
Cm,Chromium,22
Cl,Chlorine,21
Cf,Cesium,20
Ce,Cerium,19
Cd,Carbon,18
Ca,Californium,17
C,Calcium,16
Br,Cadmium,15
Bk,Bromine,14
Bi,Boron,13
Bh,Bohrium,12
Be,Bismuth,11
Ba,Beryllium,10
B,Berkelium,9
Au,Barium,8
At,Astatine,7
As,Arsenic,6
Ar,Argon,5
Am,Antimony,4
Al,Americium,3
Ag,Aluminum,2
Ac,Actinium,1
